term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000266,"mitochondrial fission",0.225%, 1.362, 2.028,1.602,-2.7992,0.978,0.000,266,0
GO:0002376,"immune system process",16.463%, 0.134, 0.824,3.455,-14.6477,0.987,0.000,2376,0
GO:0009615,"response to virus",1.771%,-0.838,-1.767,2.489,-25.0450,0.761,0.000,9615,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-21.5477,0.737,0.933,9615,1
GO:0051707,"response to other organism",4.853%,null,null,2.925,-21.5477,0.735,0.815,9615,1
GO:0009617,"response to bacterium",3.156%,null,null,2.739,-2.5494,0.747,0.888,9615,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-19.7371,0.664,0.875,9615,1
GO:0043901,"negative regulation of multi-organism process",0.600%,-3.236, 5.345,2.021,-16.3733,0.779,0.000,43901,0
GO:0048525,"negative regulation of viral process",0.392%,null,null,1.839,-13.8691,0.762,0.793,43901,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",1.021%,null,null,2.250,-11.2149,0.775,0.871,43901,1
GO:0043902,"positive regulation of multi-organism process",0.658%,null,null,2.061,-2.2780,0.765,0.879,43901,1
GO:1903900,"regulation of viral life cycle",0.819%,null,null,2.155,-11.8748,0.769,0.905,43901,1
GO:1903901,"negative regulation of viral life cycle",0.375%,null,null,1.820,-13.2653,0.760,0.967,43901,1
GO:0045069,"regulation of viral genome replication",0.462%,null,null,1.908,-12.2404,0.779,0.919,43901,1
GO:0045071,"negative regulation of viral genome replication",0.294%,null,null,1.716,-14.4361,0.764,0.895,43901,1
GO:0050792,"regulation of viral process",0.889%,null,null,2.190,-11.5424,0.771,0.952,43901,1
GO:0050896,"response to stimulus",49.302%,-1.585, 2.367,3.932,-5.4030,0.992,0.000,50896,0
GO:0051704,"multi-organism process",9.873%,-0.910, 1.595,3.234,-14.6457,0.986,0.000,51704,0
GO:0060700,"regulation of ribonuclease activity",0.035%, 3.888, 4.345,0.845,-6.6302,0.929,0.025,60700,0
GO:0001817,"regulation of cytokine production",3.387%,-5.392, 3.027,2.769,-5.8102,0.756,0.039,1817,0
