term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%,-0.889, 1.177,3.455,-9.9542,0.988,0.000,2376,0
GO:0050896,"response to stimulus",49.302%, 3.109, 2.269,3.932,-2.6869,0.993,0.000,50896,0
GO:0051704,"multi-organism process",9.873%, 1.905, 2.213,3.234,-5.5030,0.987,0.000,51704,0
GO:0060337,"type I interferon signaling pathway",0.462%,-5.915, 5.328,1.908,-15.5883,0.691,0.000,60337,0
GO:0071357,"cellular response to type I interferon",0.462%,null,null,1.908,-15.5883,0.711,0.986,60337,1
GO:0042744,"hydrogen peroxide catabolic process",0.127%, 3.460,-2.112,1.362,-5.9175,0.951,0.002,42744,0
GO:0015669,"gas transport",0.110%,-0.664,-4.157,1.301,-4.5631,0.963,0.009,15669,0
GO:0045730,"respiratory burst",0.162%, 1.719,-2.001,1.462,-3.1168,0.958,0.023,45730,0
GO:0048872,"homeostasis of number of cells",1.339%,-2.349,-3.490,2.367,-5.6148,0.929,0.027,48872,0
GO:1904261,"positive regulation of basement membrane assembly involved in embryonic body morphogenesis",0.029%,-4.851,-3.454,0.778,-2.0932,0.889,0.029,1904261,0
GO:2001197,"basement membrane assembly involved in embryonic body morphogenesis",0.029%,null,null,0.778,-2.0932,0.922,0.927,1904261,1
GO:1904259,"regulation of basement membrane assembly involved in embryonic body morphogenesis",0.029%,null,null,0.778,-2.0932,0.894,1.000,1904261,1
GO:0060700,"regulation of ribonuclease activity",0.035%, 5.746, 0.380,0.845,-4.4148,0.936,0.030,60700,0
GO:0043901,"negative regulation of multi-organism process",0.600%,-6.355,-4.219,2.021,-11.2773,0.801,0.032,43901,0
GO:0048525,"negative regulation of viral process",0.392%,null,null,1.839,-8.2450,0.788,0.895,43901,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",1.021%,null,null,2.250,-6.0428,0.817,0.871,43901,1
GO:0043902,"positive regulation of multi-organism process",0.658%,null,null,2.061,-2.0872,0.828,0.879,43901,1
GO:1903900,"regulation of viral life cycle",0.819%,null,null,2.155,-8.2962,0.810,0.919,43901,1
GO:1903901,"negative regulation of viral life cycle",0.375%,null,null,1.820,-9.1358,0.786,0.967,43901,1
GO:0045069,"regulation of viral genome replication",0.462%,null,null,1.908,-9.6244,0.818,0.911,43901,1
GO:0045071,"negative regulation of viral genome replication",0.294%,null,null,1.716,-10.7177,0.790,0.772,43901,1
GO:0050792,"regulation of viral process",0.889%,null,null,2.190,-6.3743,0.812,0.952,43901,1
GO:0008219,"cell death",11.881%,-2.013, 1.457,3.314,-2.0946,0.965,0.034,8219,0
GO:0072593,"reactive oxygen species metabolic process",1.373%,-1.714, 0.451,2.378,-2.7541,0.970,0.038,72593,0
GO:0065008,"regulation of biological quality",20.202%,-0.448, 0.762,3.544,-3.6227,0.949,0.044,65008,0
