term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%, 0.399,-1.052,3.455,-13.6783,0.993,0.000,2376,0
GO:0009615,"response to virus",1.771%,-1.988,-3.828,2.489,-24.4739,0.841,0.000,9615,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-12.9199,0.824,0.933,9615,1
GO:0051707,"response to other organism",4.853%,null,null,2.925,-12.9199,0.823,0.815,9615,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-12.0076,0.769,0.875,9615,1
GO:0015669,"gas transport",0.110%, 2.976,-0.709,1.301,-3.3639,0.974,0.000,15669,0
GO:0042744,"hydrogen peroxide catabolic process",0.127%, 1.510, 2.203,1.362,-5.6101,0.960,0.000,42744,0
GO:0043901,"negative regulation of multi-organism process",0.600%, 5.423,-0.144,2.021,-14.5333,0.840,0.000,43901,0
GO:0048525,"negative regulation of viral process",0.392%,null,null,1.839,-12.9489,0.829,0.793,43901,1
GO:0050792,"regulation of viral process",0.889%,null,null,2.190,-10.8861,0.847,0.952,43901,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",1.021%,null,null,2.250,-10.3066,0.852,0.871,43901,1
GO:0043902,"positive regulation of multi-organism process",0.658%,null,null,2.061,-4.3116,0.828,0.879,43901,1
GO:1903900,"regulation of viral life cycle",0.819%,null,null,2.155,-12.0076,0.846,0.905,43901,1
GO:1903901,"negative regulation of viral life cycle",0.375%,null,null,1.820,-13.2296,0.828,0.967,43901,1
GO:0045069,"regulation of viral genome replication",0.462%,null,null,1.908,-11.9844,0.853,0.919,43901,1
GO:0045071,"negative regulation of viral genome replication",0.294%,null,null,1.716,-13.9837,0.831,0.895,43901,1
GO:0050896,"response to stimulus",49.302%,-1.030,-1.026,3.932,-4.4239,0.996,0.000,50896,0
GO:0051704,"multi-organism process",9.873%, 0.854,-2.550,3.234,-6.1019,0.993,0.000,51704,0
GO:0008219,"cell death",11.881%, 0.392,-0.575,3.314,-3.2827,0.965,0.012,8219,0
GO:0042440,"pigment metabolic process",0.387%, 0.704, 1.209,1.833,-2.7039,0.967,0.025,42440,0
