term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%, 0.972, 0.502,3.455,-32.2028,0.995,0.000,2376,0
GO:0009306,"protein secretion",2.856%,-2.956,-3.198,2.695,-4.6629,0.864,0.000,9306,0
GO:0006887,"exocytosis",4.986%,null,null,2.937,-2.6755,0.864,0.704,9306,1
GO:0032940,"secretion by cell",8.125%,null,null,3.149,-7.0650,0.863,0.800,9306,1
GO:0051046,"regulation of secretion",4.033%,null,null,2.845,-2.2461,0.836,0.710,9306,1
GO:0023052,"signaling",36.613%, 2.222, 0.069,3.803,-3.1959,0.996,0.000,23052,0
GO:0043900,"regulation of multi-organism process",1.379%,-1.268,-1.482,2.380,-24.0459,0.894,0.000,43900,0
GO:0050896,"response to stimulus",49.302%, 2.020,-0.058,3.932,-7.1666,0.997,0.000,50896,0
GO:0051704,"multi-organism process",9.873%, 1.839,-0.009,3.234,-24.3272,0.995,0.000,51704,0
GO:0051707,"response to other organism",4.853%, 1.938, 4.057,2.925,-36.0765,0.848,0.000,51707,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-36.0765,0.849,0.933,51707,1
GO:0009617,"response to bacterium",3.156%,null,null,2.739,-4.3698,0.855,0.888,51707,1
GO:0009615,"response to virus",1.771%,null,null,2.489,-36.5359,0.864,0.815,51707,1
GO:0002831,"regulation of response to biotic stimulus",0.802%,null,null,2.146,-16.5111,0.805,0.719,51707,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-35.9565,0.785,0.875,51707,1
GO:0051607,"defense response to virus",1.327%,null,null,2.364,-38.1300,0.633,0.783,51707,1
GO:0007154,"cell communication",36.705%, 0.822, 0.400,3.804,-3.4537,0.993,0.004,7154,0
GO:1900225,"regulation of NLRP3 inflammasome complex assembly",0.069%,-0.571,-0.035,1.114,-2.5490,0.953,0.029,1900225,0
GO:2000110,"negative regulation of macrophage apoptotic process",0.023%, 1.907,-2.820,0.699,-2.1805,0.932,0.029,2000110,0
GO:0051092,"positive regulation of NF-kappaB transcription factor activity",0.785%,-4.293, 0.011,2.137,-5.8309,0.863,0.036,51092,0
GO:0051091,"positive regulation of sequence-specific DNA binding transcription factor activity",1.362%,null,null,2.375,-4.3732,0.855,0.820,51092,1
GO:0048145,"regulation of fibroblast proliferation",0.490%, 0.244,-0.068,1.934,-2.9009,0.947,0.039,48145,0
GO:0001817,"regulation of cytokine production",3.387%, 1.070,-6.493,2.769,-10.8505,0.718,0.043,1817,0
GO:0051223,"regulation of protein transport",4.310%,null,null,2.874,-2.3816,0.838,0.840,1817,1
GO:0035546,"interferon-beta secretion",0.006%,null,null,0.301,-3.0463,0.769,0.983,1817,1
GO:0070201,"regulation of establishment of protein localization",4.737%,null,null,2.915,-2.5103,0.844,0.878,1817,1
GO:0035547,"regulation of interferon-beta secretion",0.006%,null,null,0.301,-3.0463,0.739,1.108,1817,1
GO:0035549,"positive regulation of interferon-beta secretion",0.038%,null,null,0.845,-3.1957,0.677,0.770,1817,1
GO:1904951,"positive regulation of establishment of protein localization",3.006%,null,null,2.718,-2.1683,0.799,0.874,1817,1
GO:0001819,"positive regulation of cytokine production",2.256%,null,null,2.593,-7.1666,0.688,0.881,1817,1
GO:0001818,"negative regulation of cytokine production",1.310%,null,null,2.358,-4.5772,0.713,0.819,1817,1
GO:0050714,"positive regulation of protein secretion",1.258%,null,null,2.340,-3.2927,0.766,0.847,1817,1
GO:0050715,"positive regulation of cytokine secretion",0.589%,null,null,2.013,-4.0209,0.635,0.920,1817,1
GO:1902739,"regulation of interferon-alpha secretion",0.012%,null,null,0.477,-2.6755,0.728,1.023,1817,1
GO:1902741,"positive regulation of interferon-alpha secretion",0.012%,null,null,0.477,-2.6755,0.701,1.023,1817,1
GO:0032481,"positive regulation of type I interferon production",0.415%,null,null,1.863,-6.4806,0.706,0.945,1817,1
GO:0032479,"regulation of type I interferon production",0.681%,null,null,2.076,-7.1460,0.732,0.755,1817,1
GO:0050708,"regulation of protein secretion",2.291%,null,null,2.600,-3.6464,0.804,0.827,1817,1
GO:0050707,"regulation of cytokine secretion",0.894%,null,null,2.193,-5.2404,0.659,0.780,1817,1
GO:0032480,"negative regulation of type I interferon production",0.260%,null,null,1.663,-5.2562,0.729,0.904,1817,1
GO:2000778,"positive regulation of interleukin-6 secretion",0.110%,null,null,1.301,-3.6967,0.676,0.786,1817,1
GO:0002367,"cytokine production involved in immune response",0.456%,null,null,1.903,-7.4207,0.606,0.774,1817,1
GO:0002369,"T cell cytokine production",0.167%,null,null,1.477,-3.3313,0.579,0.894,1817,1
GO:0002371,"dendritic cell cytokine production",0.040%,null,null,0.903,-2.8993,0.638,0.799,1817,1
GO:0002724,"regulation of T cell cytokine production",0.127%,null,null,1.362,-2.5851,0.520,0.926,1817,1
GO:0002718,"regulation of cytokine production involved in immune response",0.364%,null,null,1.806,-7.1410,0.509,0.702,1817,1
GO:0002720,"positive regulation of cytokine production involved in immune response",0.202%,null,null,1.556,-5.1326,0.507,0.908,1817,1
GO:0002719,"negative regulation of cytokine production involved in immune response",0.133%,null,null,1.380,-2.1078,0.521,0.877,1817,1
GO:0002730,"regulation of dendritic cell cytokine production",0.029%,null,null,0.778,-2.9845,0.580,0.780,1817,1
GO:0050663,"cytokine secretion",1.027%,null,null,2.253,-6.2550,0.712,0.794,1817,1
GO:0002726,"positive regulation of T cell cytokine production",0.081%,null,null,1.176,-3.0699,0.514,0.892,1817,1
GO:0072642,"interferon-alpha secretion",0.012%,null,null,0.477,-2.6755,0.758,1.023,1817,1
GO:0002703,"regulation of leukocyte mediated immunity",0.912%,null,null,2.201,-6.3229,0.658,0.752,1817,1
GO:2000554,"regulation of T-helper 1 cell cytokine production",0.006%,null,null,0.301,-2.7295,0.602,0.929,1817,1
GO:0002702,"positive regulation of production of molecular mediator of immune response",0.421%,null,null,1.869,-4.2763,0.638,0.905,1817,1
GO:2000556,"positive regulation of T-helper 1 cell cytokine production",0.006%,null,null,0.301,-2.7295,0.585,0.764,1817,1
GO:0002699,"positive regulation of immune effector process",0.958%,null,null,2.223,-5.1718,0.629,0.829,1817,1
